word,definition
irreligion,hostility to religious principles; lack of religion
irreligionism,system of belief that is hostile to religions
irremeable,which cannot be returned; irrevocable
irremissible,that cannot be forgiven; unpardonable
irremoval,absence of removal
irreplevisable,in law that cannot be restored to its rightful owner
irreposcible,unable to be demanded back
irreption,stealthy entrance; a subtle or creeping entry into
irreptitious,having crept into a text
irrequisite,unnecessary
irresiant,having no residence; not resident
irrespectuose,disrespectful
irresultive,having no result
irretiate,to ensnare; to trap in a net
irrevincible,invincible; incontrovertible
irriguous,watered; wet; irrigating
irrisible,worthy of derision
irrision,the act of laughing at another
irrisory,mocking; derisive
irrite,void
irroborate,to strengthen
irroration,watering a plant with discharge of a sick person
irruent,running hastily; rushing
irrumpent,bursting or breaking in
irruption,breaking or bursting in
isabelline,greyish yellow
isabnormal,line connecting points of equal deviation from mean temperature
isacoustic,line connecting points of equal acoustic quality
isagoge,academic introduction to a subject
isagogic,introductory
isallobar,line connecting points of equal change in barometric pressure
isallotherm,line connecting points of equal temperature variation in a period
isanemone,line connecting points on map having same wind velocity
isanther,line connecting points where flowers bloom at the same time of year
isapostolic,equal to or contemporary with the apostles
isatis,Arctic fox
ischaemia,lack of blood in a part of the body due to an obstruction
ischiatic,of or pertaining to the ischium or hip
ischiorrhogic,of an iambic line having spondees in the second fourth or sixth place
ischuretic,diuretic
ischuria,retention of urine
iseidomal,line connecting points of equal visibility of a spectacle
isentropic,line connecting points of equal entropy
ishan,prehistoric Iraqi mound
ishies,hip-joints
ising,meat sausage
isinglass,firm semitransparent substance used to make jellies
islandic,of or pertaining to an island
islesman,inhabitant of a group of islands
islomania,craze or obsession for islands
ismatic,addicted to “isms” or faddish theories
isness,the fact of being; essence
isobar,line connecting points of same atmospheric pressure
isobase,line connecting points of equal land upheaval
isobath,line connecting points of equal underwater depth
isobathytherm,line connecting points of equal temperature and depth underground
isobront,line connecting points of simultaneous storm development
isocephaly,arrangement of figures in art so that their heads are at the same height
isochar,line connecting points of similar distinguishing characteristics of plant life
isochasm,line connecting points of equal frequency of aurorae
isocheim,line connecting points of same average winter temperature
isochlor,line connecting points of equal chlorine concentration
isochor,line connecting points of varying conditions under constant volume
isochrone,line connecting points of equal time difference or simultaneous occurrence
isochronous,having the same duration; recurring at equal intervals
isochroous,having a uniform colour
isoclinal,line connecting points of same magnetic dip
isocost,line connecting points of equal cost
isocracy,equal political power
isocryme,line connecting points of equal winter temperature
isodiabatic,having equal transmission of heat
isodose,line connecting points that receive equal doses of radiation
isodynamic,line connecting points of equal magnetic intensity
isoflor,line connecting points of equal number of plant species
isogam,line connecting points of equal acceleration due to gravity
isogen,line connecting points of equal birthrates
isogeny,sameness or similarity of origin
isogeotherm,line connecting points of equal subterranean temperature
isogloss,line connecting points of similar regional dialect
isoglossal,having similar speech patterns or language
isogonal,having equal angles
isogonal,line connecting points of equal magnetic declination
isograd,line connecting points of similar conditions during geological metamorphism
isogram,line connecting points on a map having some similar feature
isograph,line connecting points of same linguistic usage in some respect
isography,imitation of handwriting
isohaline,line connecting points of equal salinity
isohalsine,line connecting points of equal ocean salinity
isohel,line connecting points of equal sunlight
isohyet,line connecting points of equal rainfall
isokeraunic,line connecting points of equal occurrence of thunderstorms
isolex,line connecting points of same vocabulary usage
isoline,line connecting points on a map having some similar feature
isomagnetic,line connecting points of equal magnetic induction
isometric,line connecting points of equal variations of pressure
isomorph,line connecting points of same linguistic morphological forms
isonephelic,line connecting points of equal cloud cover
isonomy,equal law; rights or privileges
isonym,word having the same derivation or form as another
isopach,line connecting points of equal thickness of geological strata
isophene,line connecting points of the same phenotype or seasonal variation
isophote,line connecting points of equal light intensity from a given source
isopiestic,line connecting points of equal pressure but varying temperature and volume
isopiptesis,line connecting points of same arrival date of migratory species
isopleth,line connecting points of equal aspect of climate
isopolity,reciprocity of rights of citizenship in two communities
isopor,line connecting points of equal annual change in magnetic field
isoprofit,line connecting points of equal profit
isopsephic,equal in number
isopycnic,line connecting points of equal density
isoquant,line connecting points of equal output
isorithm,line connecting points of equal population density
isorropic,of equal value
isoseismal,line connecting points of same earthquake intensity
isostasy,condition of equilibrium in the earth's crust
isostere,line connecting points of equal specific volume of a substance
isotac,line joining points where the ice melts at the same time of year
isotach,line connecting points of the same wind speed
isothere,line connecting points of equal summer temperature
isotherm,line connecting points of equal temperature
isothermobath,line connecting points of equal temperature at a given ocean depth
isotherombrose,line connecting points of equal ratio of summer rainfall to annual rainfall
isotropic,having the same properties in every direction
isovol,line connecting points of equal ratio of fixed to volatile carbon in coal
issles,sparks; embers
issuant,issuing from; in heraldry emerging from the bottom of a chief
ist,one who holds to an 'ism'
isthmian,living on or situated on an isthmus
isthmoid,resembling an isthmus
istle,coarse tough Central American fibre used to make cords and nets
itacism,pronunciation of the Greek letter eta as 'ee'
itai-itai,disease caused by cadmium poisoning and resulting in back pain
Italiot,person of Greek descent dwelling in ancient Italy
Italomania,obsession with Italy or Italians
item,likewise; also
iter,circuit; path; road or line of travel
iterant,repeating; echoing
iteration,repetition
iterum,again; afresh; anew
ithomiid,tropical South American butterfly
ithyphallic,indecent; immoral
itinerarian,traveller
itinerarily,in the course of wandering
ition,the action of going
itis,bodily condition or disease
iulan,of the first growth of the beard
iulus,millipede
ivi,Tahitian chestnut tree
ivoride,imitation ivory
ivorine,white and smooth like ivory
ivorist,one who carves ivory professionally
ivresse,drunkenness
iwis,surely; certainly
ixia,South African beautiful flowering plant
ixiodic,of like or pertaining to ticks
ixora,tropical evergreen shrub with white flowers
izard,goatlike antelope found in the Pyrenees
izzard,archaic name for the letter Z
izzat,public esteem; honour
jabberwock,nonsense gibberish
jabiru,large tropical stork with massive bill
jabot,lace frill worn on shirt or dress front
jacana,long-toed tropical freshwater wading bird
jacent,lying flat; sluggish
jacinthe,orange colour
jack,ship's flag flown from jack-staff at bow of vessel
jack,medieval leather coat worn as armour
jackanapes,impudent child; conceited fellow
jack-block,pulley system for raising topgallant masts
jack-cross-tree,single iron cross-tree at head of a topgallant mast
jackstaff,short staff at ship's bow from which the jack is hoisted
jackstay,iron or wooden bar running along yard of ship to which sails fastened
jackyard,spar used to spread the foot of a gaff-topsail
jacobin,extremist or radical in politics
jaconet,stout cotton cloth
jacquard,intricately-woven variegated fabric; loom for making jacquard
jactancy,boastfulness vainglory
jactation,throwing; boasting
jactitation,a tossing twitching or jerking of the body; a false claim
jacu,large South American game bird
jaculation,the act of throwing or hurling
jaculiferous,having arrow-like prickles
jade,pitiful horse; a nag
jagger,toothed chisel
jaggery,coarse and dark sugar
jailage,fee paid to jailer
jaleo,lively Spanish dance
jalouse,to suspect; to be jealous of
jalousie,outside shutter with slats
jamb,metal leg-armour
jambeau,armour worn on the legs
jambiya,curved dagger with two edges
jamdani,fine Indian cotton cloth with woven flower pattern
jampan,an Indian sedan chair
jangada,crude log raft
janiform,having two faces
janitrix,a female janitor
janizary,a follower or supporter
janker,long pole on wheels for transporting logs
jannock,outspoken; honest; outgoing
jansky,unit of strength of radio wave emission
japan,glossy black varnish or lacquer
japanophilia,love or admiration for Japan or the Japanese
jarabe,Mexican dance for male and female partners
jararaca,poisonous Brazilian snake
jardinière,container for displaying flowers
jardon,callous or swelling on a horse's leg
jargonaut,one who uses excessive jargon
jargonelle,early pear
jargoon,brilliant pale or colourless zircon
jark,seal or insignia on a counterfeit document
jarta,term of endearment
jarvey,hackney-coach
jaseran,fine chain mail jacket
jaspe,cotton or rayon cloth with shaded effect
jasper,to marble; to speckle
jasperated,mottled; streaked with various colours
jaspideous,of the nature of jasper
jato,jet-assisted takeoff engine
jaunce,to prance; to cause a horse to prance
javanais,word alternation slang adding 'av' or 'va' to end of syllables
javelot,small spear or javelin
jawhole,cesspool; sewer entrance
jaw-jaw,empty sterile chatter
jazzbo,slapstick comedy
jazzetry,poetry read to jazz accompaniment
jazzophone,musical instrument like a kazoo with a trumpet bell
jebel,hill or mountain
jecoral,of like or pertaining to the liver
jectigation,wagging tremulous movement
jeepable,able to be traversed by jeep
jejunator,one who fasts
jejune,lacking interest or significance; dull or insipid; dry; empty
jellygraph,old device for copying that used a plate of jelly
jemadar,an Indian police or customs officer
jemmy,burglar's short crowbar
jennet,small Spanish horse
jenneting,early type of apple
jentacular,of like or pertaining to breakfast
jeofail,official or legal acknowledgement of a mistake
jerboa,nocturnal desert-dwelling jumping rodent
jeremiad,prolonged complaint; angry or cautionary harangue; lamentation
jerkinhead,truncated gable with a lipped roof
jeroboam,large bottle for holding equivalent of 6 ordinary wine bottles
jerque,to search for smuggled goods
jersey,plain weft-knitted fabric of wool cotton nylon or silk
jess,ringed strap tied to leg of falcon or hawk
jessamy,yellow like a jasmine
jessant,in heraldry overlying
jesserant,splinted armour
jesuitical,cunning; quibbling
jesuitocracy,government by Jesuits
jetavator,control surface for deflecting rocket exhaust
jeton,stamped metal token used in card-playing or reckoning accounts
jettatura,the evil eye
jib,small triangular sail extending from the head of the foremast
jibboom,spar forming an extension of the bowsprit
jibe,to change a ship's course to make the boom shift sides
jiboya,boa constrictor
jiffy,unit of time used in computing equal to 1/100 second; any small unit of time
jigamaree,a thingamajig; a cunning manoeuvre
jiggermast,aftermost mast of a four-masted ship
jiggery-pokery,deceptive or manipulative humbug
jiggumbob,a thingamabob; a gadget; a whatsit; a gewgaw
jimswinger,a frock coat
jink,to move quickly with sudden turns and shifts
jinker,light horse-drawn passenger carriage
jitney,small passenger vehicle
jitterbug,jazz dance featuring vigorous acrobatic feats
jive,fast dance done to jazz or swing music
jnana,knowledge obtained through meditation
jobation,tedious scolding
jobbernowl,a blockish or stupid head
jobbery,the conduct of public business for private gain
jocko,a chimpanzee
jockteleg,large clasp knife
jocose,merry; characterized by joking
jocoserious,half in jest; half serious
joculator,professional jester or minstrel
joggle,tooth or pin to prevent surfaces from slipping
joinder,legal uniting or joining
jointure,property granted to wife for use after husband's death
joist,beam supporting boards of a floor or laths of a ceiling
jolley,guide for fixing a pottery mould for plates
jollyboat,small boat kept hoisted at ship's stern
jolterhead,clumsy oaf; blockhead
jongleur,wandering minstrel
jordan,a chamberpot
jorum,large bowl containing drinks
joss,luck fate
jota,fast Spanish folk dance in triple time
jougs,iron collar attached to post and put around neck as punishment
jounce,to bump or jolt
jovialist,a convivial person
jow,to ring a bell; a stroke of a bell
juba,dance with clapping and leg slapping performed by Southern blacks
jubate,maned; having or possessing a mane
jubbah,long loose outer garment worn by Muslims
jube,ornamental choir-screen
jubilarian,one who celebrates a jubilee especially a priest monk or nun
jubilate,the third Sunday after Easter
jud,mass of coal ready for final removal
judder,strong vibration in an aircraft
judicature,power of dispensing justice by trial
judogi,jacket and trousers worn by practitioner of judo
jug,sound of the nightingale
jugate,side by side; in pairs; overlapping
juggins,a simpleton
juglandaceous,of like or pertaining to walnuts
jugulate,to cut the throat of
julep,sweetened and often medicated drink
jumar,mountaineering clip that grips rope when weight is applied
jumart,impossible mythical offspring of a cow and donkey
jumbal,thin crisp sweet cake
jumboism,admiration for large things
jumelle,paired or twinned article; opera-glasses
jumentous,like a horse
juncaceous,of like or pertaining to rushes
junco,North American finch
juntocracy,government by a junta
jupon,sleeveless jacket worn beneath a hauberk
jural,of like or pertaining to the law
juramentum,oath
jurant,taking an oath; one who takes an oath
jurat,memorandum at end of affidavit showing to whom it was sworn
juratory,of like or pertaining to an oath
jure,by law
jurel,coastal fish of southern United States
jurimetrics,application of scientific methods to legal problems
jurisconsult,legal expert
jurymast,mast erected on ship in place of one lost
jus,law; legal right
jussive,expressing a command
justiciar,administrator of justice; supreme judge
jutty,projecting part of a wall
juvenal,a youth; young bird's plumage
juvenescent,becoming youthful
juvenilia,works of one's youth; early works of an artist or author
juxtapositive,indicating juxtaposition
kagu,long-legged bird of New Caledonia
kainotophobia,fear of change
kaiserin,wife of a kaiser
kaka,olive-brown parrot native to New Zealand
kakaki,West African ceremonial trumpet
kakidrosis,body odour
kakistocracy,government by the worst
kakorrhaphiophobia,fear of failure
kalamkari,fabric coloured by repeated dyeing
kaleidophone,instrument for demonstrating sound waves by lines of light
kalimba,African musical instrument made of metal strips along a hollow wooden tube
kalology,study of beauty
kalon,beauty that is more than skin deep
kalpis,a water jar
kalyptra,veil worn by Greek women
kamagraphy,making copies of original paintings using treated canvas
kame,steep irregular ridge
kamelaukion,tall cylindrical hat worn by Orthodox priests
kamerad,to surrender
kamik,knee-length sealskin boot
kaneh,Hebrew measure of 6 cubits
kantar,Turkish unit of weight equal to approximately 100 pounds
kantele,Finnish zither
kantikoy,to dance as an act of worship
kapnography,means of producing designs on smoked glass surfaces
kapnography,process for producing designs on smoked glass
karabiner,steel link with clip on side used in mountaineering
karezza,prolonged sex avoiding orgasm
karrozzin,Maltese horse-drawn carriage
karst,rough limestone country with underground drainage
karyokinesis,division of cell nucleus
karyology,study of cell nuclei
karyotype,appearance number and arrangements of chromosomes
kasha,porridge or gruel-like dish made from crushed buckwheat
katabasis,going down; military retreat
katabothron,underground water-channel
katathermometer,instrument for measuring the cooling power of air
katharometer,instrument measuring changes in composition of gases
kathenotheism,polytheism in which several gods are considered supreme in succession
katzenjammer,hangover; uproar; clamour
kausia,Macedonian felt hat with broad brim
kava,narcotic drink prepared from Polynesian plant
kazachoc,Slavic fast dance in which dancer squats and kicks out legs alternately
kazatzka,Slavic folk dance performed by a couple
kea,green parrot of New Zealand
keb,ewe that gives birth to stillborn lamb
kebbie,a shepherd's crook
keck,to retch; to feel disgust
keckle,to protect by binding with rope
ked,wingless fly that feeds on livestock
kedge,small anchor to keep a ship steady
keelhaul,to punish by dragging under keel of ship
keelson,lengthwise wooden or steel beam in ship for bearing stress
keeve,a large tub
kef,state of dreamy or drug-induced repose
keffel,a horse; a nag
keister,burglar's tool kit
keloid,hard scar tissue which grows over injured skin
kelpie,mischievous water spirit
kelt,coarse fabric made of black and white wool
kelter,nonsense
kemb,to comb
kemp,coarse rough strand of wool
kennebecker,knapsack
kenodoxy,the love or study of vain-glory
kenophobia,fear of empty spaces
kenosis,Christ's rejection of his divine side upon assuming human form
kenotism,doctrine that Christ rid himself of divinity in becoming human
kenspeckle,easily recognizable or distinguishable
kent-bugle,an obsolete keybugle
kente,hand-woven African silk fabric
kentledge,pig-iron used as ballast in ship's hold
kep,to catch an approaching object or falling liquid
kephalonomancy,divination using a baked ass's head
kerasine,horny; made of horn
keratogenic,causing growth of horn skin or hair
keratometer,instrument for measuring curvature of the cornea
keraunograph,instrument for recording distant thunderstorms
keraunoscopia,divination using thunder
kereru,pigeon variety of New Zealand
kerf,cut notch or groove; quantity of something cut at the same time
kermes,brilliant red colour; a red dye derived from insects
kermesse,cycle race held in an urban area
kermis,indoor charity fair
kern,Irish foot-soldier
kern,part of typeface letter that sticks out beyond its body
kern,to granulate
kersey,coarse woollen cloth
kerseymere,twilled fine wool
kerygma,preaching of the Christian gospel
kerygmatic,of like or pertaining to preaching the Gospel
ket,carrion; matted wool
ketch,small two-masted sailing vessel
ketjak,traditional Balinese dance accompanied by male chorus
kettlestitch,stitch made at head and tail of section of book to connect sections
kex,dry hollow plant stalk
keybugle,bugle with keys
keyline,outline showing shape and position of an illustration
keystone,to double the wholesale price for retail
khaddar,homespun cotton cloth
khor,a dry watercourse; a ravine
kiang,wild Tibetan horse
kibble,the bucket of a well
kibble,to grind cereal coarsely
kibe,chapped area of skin
kickie-wickie,a wife
kickshaws,a trinket; a cheap worthless article
kidder,a forestaller; a huckster
kiddle,stake-fence set in stream for catching fish
kidlet,a very little kid
kidology,study of kidding
kidology,deceptive trickery; nonsense
kier,bleaching vat
kif,drug like marijuana smoked in North Africa
kilderkin,old unit of capacity equal to 1/2 barrel or 18 gallons
kilfud-yoking,a fireside disputation
killas,clay slate
killcow,a bully; a swaggerer
killcrop,greedy insatiable baby; a changeling
killock,small anchor
kilobase,unit of measure of length of nucleic acid chain equal to 1000 base pairs
kinchin,a child
kincob,embroidered silk with gold and silver threads
kindergraph,photograph of a child
kinderspiel,a children's cantata or play
kine,cows
kinematics,study of motion
kinescope,cathode ray tube for a television
kinesics,study of gestural communication
kinetheodolite,theodolite used in tracking missiles and satellites
kinetics,study of forces producing or changing motion
kinetogenic,causing movement
kinetoscope,instrument for producing curves by combination of circular movements
kingpost,perpendicular beam in frame of roof
kinkajou,carnivorous South American raccoon-like mammal
kinkle,a slight kink
kip,skin of a young animal
kip,unit of weight equivalent to 1000 pounds
kippage,state of displeasure or anger
kir,drink of black currant syrup and white wine
kirking,first attendance of a couple at church after marriage
kirpan,small sword or dagger worn by Sikhs
kirsch,liqueur made from the wild cherry
kirtle,man's or woman's tunic or coat
kish,solid graphite that separates from pig-iron
kismet,fate; destiny
kissel,thickened fruit purée dessert
kistvaen,tomb covered with stone slabs
kit,a small pocket violin
kitenge,brightly coloured East African cotton fabric
kith,knowledge; one's native land; one's friends
kitthoge,left-handed; awkward
klangfarbe,tone-colour; timbre
klaxon,loud mechanical horn
kleenebok,small South African antelope
klendusic,able to withstand disease due to protective mechanism
kleptocracy,government by thieves
klipspringer,small African antelope
klopemania,kleptomania
knackish,cunning; crafty
knag,knot in wood
knarred,gnarled; knotty
kneelet,knee armour
knickerbockers,loose breeches gathered in at the knee
knick-knackatory,collection of knick-knacks
knickpoint,discontinuity in river profile due to intersection of new erosion curve
knissomancy,divination using burning incense
knitch,bundle of wood tied together
knobber,a stag in its second year
knop,loop or tuft in yarn
knosp,unopened bud of a flower; ornament shaped like a bud
knout,to flog; to scourge
knubble,to beat with the fists
knur,knob or knot in wood
knurl,small excrescence or protuberance; to make knurls on
koan,nonsensical question given to Buddhist students for contemplation
kob,African water antelope
kobold,spirit of the mines
kohl,eye-shadow; mascara
kohlrabi,variety of cabbage
koine,dialect that spreads to become common language of a region
kolo,Central European folk dance having a ring of dancers
komatik,sled with wooden runners
konimeter,instrument measuring amount of dust in air
koniology,study of atmospheric pollutants and dust
koniscope,instrument for measuring dust in air
kop,bank of terracing at a football field
kora,musical instrument similar to a harp
kore,ancient Greek statue of a draped maiden
koto,obnoxious-sounding Japanese stringed instrument
kouprey,wild ox of Cambodia
kouros,statue of a nude male
kraken,legendary sea monster
krasis,addition of water to sacramental wine
kraurosis,shrivelling of the skin
kreatophagia,eating of raw meat
kremlin,a Russian citadel
kreng,whale carcass after blubber is removed
kriegspiel,war-game used to teach strategy
krimmer,tightly curled grey or black lamb's wool
kritarchy,government by judges
krobylos,tuft of hair on the top of the head
krummhorn,ancient double-reed wind instrument
krypsis,doctrine that Christ secretly exercised divine powers
ktenology,science of putting people to death
kudu,African antelope with spiralling horns
kumiss,fermented mare's milk
kummel,cumin-flavoured liqueur
kurgan,prehistoric burial mound
kurta,loose shirt or tunic
kurtosis,relative degree okf sharpness of peak of distribution curve
kuru,brain disease transmitted by cannibalism
kvass,Eastern European rye beer
kwashiorkor,tropical disease of infants due to protein deficiency
kyle,narrow strait
kylin,Chinese mythical animal
kyllosis,club foot
kyloe,small long-haired cattle
kymatology,study of wave motion
kymograph,instrument for recording fluid pressure
kyphorrhinos,humped nose
kyphosis,hunchbacked condition
kyrie,religious petition for mercy
kyrielle,string of short lines in stanzas all ending with the same word
kyriolexy,the use of literal expressions
labarum,moral standard; ecclesiastical banner bearing Christ's monogram
labefactation,a weakening decay; overthrow
labeorphily,collection and study of beer bottle labels
labidometer,instrument for measuring size of the head of a fetus
labile,adaptable; unstable
lability,plasticity; openness to change or breakdown
labiomancy,lip reading
labret,lip ornament
labrose,thick-lipped
labtebricole,living in holes
lac,dark red transparent resin used to make shellac
laccolith,mass of igneous rock intruded between two sedimentary beds
lacertiform,shaped like a lizard
lacertilian,of like or pertaining to lizards
laches,negligence or undue delay in fulfilling legal duty
lachrymatory,narrow-necked bottle or vase
lachrymiform,shaped like a tear
lachrymogenic,causing tears or weeping
lachrymose,shedding tears
laciniate,cut into narrow lobes; slashed; fringed
laciniform,shaped like a fringe
lacis,network
lackaday,expression of regret or deprecation
laconicum,sauna
lactarium,dairy farm or milking operation
lacteous,milky
lactescent,secreting milk
lactiferous,milk-bearing
lactifluous,flowing with milk
lactogenic,producing milk
lactometer,instrument for testing relative density of milk
lactoscope,instrument for measuring purity or richness of milk
lacuna,a blank space or missing part
lacunar,sunken panel or coffer in a ceiling
lacuscular,of like or pertaining to pools
lacustrine,of like or pertaining to lakes
ladronism,banditry; robbery
laeotropic,turning to the left
laetificate,to cheer up
laevoduction,movement leftwards
lagan,cargo jettisoned from ship but marked by buoys for recovery
lagan,wreckage or goods at the bottom of the sea
lagena,flask
lageniform,shaped like a flask
lagerphone,percussion instrument with bottlecaps loosely nailed to pole
lagniappe,gratuity
lagostoma,harelip
lagotic,having ears like a hare's
laic,of like or pertaining to lay people rather than clergy
laicisation,process of returning a clergyman to lay status
laicism,doctrine of opposition to clergy and priests
lairwite,fine given to married women for adultery
laitance,milky deposit on top of fresh concrete
lallation,childish speech; mispronunciation of speech sounds
lambdoid,shaped like the letter lambda (^) or “L”
lambent,moving about as if touching lightly; flickering; glowing
lambert,unit of brightness of light
lambitive,taken by licking up with the tongue
lamboys,armoured plate skirt around the waist and thighs
lambrequin,drapery over a window or doorway; veil over a helmet
lambrequin,hood or covering for a helmet
lamé,fabric in which metallic threads are interwoven
lamella,thin plate or layer
lamelliform,shaped like a plate or layer
lamiaceous,minty; of like or pertaining to the mint plant
lamina,thin plate or layer
laminary,of like or pertaining to thin plates or layer
lamister,fugitive
lammergeier,giant vulture-like bird of prey
lampad,lamp candlestick or torch
lampadedromy,torch-race
lampadephore,torchbearer
lampadomancy,divination by flame
lampas,flowered silk fabric
lampion,decorated oil lamp
lamprophony,speaking in loud and clear tones
lampyridine,of like or pertaining or pertaining to glow-worms or fireflies
lanai,private balcony in a hotel room
lanameter,instrument for measuring quality of wool
lanate,woolly
lanceolate,shaped like a lance-head
lanciform,shaped like a lance
lancinate,to lacerate; to pierce
lancination,sharp; shooting pain
landau,horse-drawn carriage with folding top
landocracy,government by the propertied class; timocracy
langlauf,cross-country skiing or running
langley,unit of solar radiation
languescent,growing languid
languet,tongue-like object or part
languor,listlessness; weariness
langur,long-tailed Indian monkey
laniary,of teeth or claws designed for tearing (canine teeth)
laniferous,wool-bearing
lanigerous,bearing wool
lanuginose,downy; covered with fine soft hair
lanyard,cord for hanging a knife or whistle around the neck
lanyard,rope or line for fastening something in a ship
Laodicean,lukewarm; half-hearted
lapactic,purgative
laparoscope,instrument for viewing interior of peritoneal cavity
lapicide,stonecutter
lapidarian,of like or pertaining to stones; inscribed on stones
lapidary,gem-cutter
lapidate,to pelt with stones; to kill by stoning
lapideous,stony
lapidescent,becoming stone; petrifying
lapifidication,petrifaction
lapilliform,shaped like a small stone
lapillus,small stone ejected by volcanic eruption
lappaceous,prickly
lappet,fold or flap on a garment or headdress worn by priest
laquearia,panelled ceiling
lar,local god of a house
larboard,left side of a ship
lardaceous,of like or pertaining to lard
lares,local Roman gods
largifical,ample; bountiful
largiloquent,talkative; full of words
largition,giving of largess
larine,of like or pertaining to gulls
larithmics,study of population statistics
laroid,of like or pertaining to gulls
larrigan,high oil-tanned leather boot or moccasin
larrup,to flog or thrash
larvicide,killing of larvae
larviparous,giving birth to larvae
larvivorous,feeding on larvae
laryngology,study of larynx
laryngoscope,instrument for examining interior of the larynx
lasher,weir
lassitude,state of being tired or weary
lastage,room for stowing goods in a ship
lasting,sturdy cotton or worsted cloth
latebricole,living in holes
lateen,triangular sail rigged on ship's spar
laterad,towards the side
laterigrade,running or moving sideways
lateritious,brick-red
latescent,becoming latent
laticiferous,containing or conveying latex
latidentate,having broad teeth
latifundia,great landed estates
latinitaster,a petty scholar of Latin
latipennate,having broad wings
latitant,lurking; lying in wait; hibernating
latitat,writ based on supposition that person is in hiding
latitudinarian,one having tolerant or free religious views
latitudinarianism,doctrine of broad liberality in religious belief and conduct
latitudinous,broad or wide interpretation
lative,indicating motion up to or as far as
latrant,barking
latration,the act of yelping or barking
latria,highest degree of veneration assigned to God over saints
latrocinate,to engage in highway robbery
latten,metal in thin plates
latticinio,glass having white veins
laudanum,an opium preparation
lauds,prayer service held at dawn following matins
lauricomous,having hair like bay-leaves
lauriferous,bearing laurels
lautenclavicymbel,lute harpsichord with gut strings
lautitious,sumptuous
lavabo,ceremony in which priest washes his hands; basin for the ceremony
lavadero,place for washing gold ore
lavaliere,jeweled pendant worn round the neck; pendant microphone
lavatory,wash-basin for washing bodies of newly dead; room where lavabo kept
laveer,to sail against the wind
laver,large vessel for washing especially for ritual purification
lavic,of like or pertaining to lava
lavolta,lively bouncy dance for two persons
lavra,group of recluses' cells
lawn,fine sheer plain-woven cotton or linen
laxism,belief that an unlikely opinion may be safely followed
layette,baby's complete set of clothing
laystall,place for depositing dung or rubbish
lazar,leper or person with similar pestilential disease
lazaret,space in ship between decks used for storage
lazaretto,hospital for lepers
lea,arable land left fallow or used for pasture
lecanomancy,divination using water in a basin or pool
lecanoscopy,staring at pool of water as means of self-hypnosis
lechwe,light brown water antelope of South Africa
lecithal,having a yolk
lectern,desk or stand from which church lessons are read
lection,reading; lesson read in church
lectisternium,sacrifice where images of gods placed on couches and offered food
lectrice,female reader in church
lectual,requiring bed rest or confinement to bed
leeboard,wood or metal planes attached to hull to prevent leeway
leech,a vertical edge of a square sail
legalism,belief that salvation depends on strict adherence to the law
legatine,of like or pertaining to a legate
legerity,lightness; nimbleness
legicide,killer or destroyer of laws
legist,person knowledgeable about the law
leguleian,like a lawyer; underhanded and legalistic
leiotrichous,straight-haired
leister,three-pronged spear or trident used for fishing
leman,a lover sweetheart or paramour
lemma,preliminary proposition theme argument or headword
lemures,spirits of the dead
lemurine,of like or pertaining to lemurs
lendrumbilate,to gullibly believe in a word's veracity
lenify,to mitigate or assuage
lenitive,soothing; laxative; mitigating
lenity,mildness; clemency
leno,open-woven fabric
lentic,associated with standing water
lentiform,shaped like a lens
lentiginose,minutely dotted; freckled
lentigo,freckle
lentitude,lethargy; slowness
lentor,sluggishness; viscidity
leonine,of or like a lion; rhyming last two or three syllables in a line
leontiasis,form of leprosy in which the face becomes wrinkly and somewhat lion-like
leopon,crossbreed between a leopard and a lion
lepadoid,resembling a barnacle
lepid,pleasant; charming; amusing
lepidine,composed of scales
lepidity,facetiousness; wit
lepidopterology,study of butterflies and moths
lepidopterous,having four wings such as a moth or butterfly
leporicide,killing or killer of hares
leporiform,resembling or shaped like a hare
leporine,of like or pertaining to the hare
leprology,study of leprosy
leprosarium,hospital for lepers
leprose,scaly; scurfy
leptochrous,abnormally thick-skinned
leptometer,instrument for measuring oil viscosity
leptosome,person with a slight or slender build
lethe,oblivion; forgetfulness
lethiferous,causing death; carrying or bearing death
lethologica,inability to remember the right word
lethonomia,tendency to forget names
leucochroic,white or pale-coloured
leucomelanous,having dark hair and eyes but fair skin
leucous,albino; having fair or pale hair or complexion
lev,monetary unit of Bulgaria
levant,to run away from a debt
leveret,a hare in its first year; a mistress
levigate,to smooth; to grind to a fine powder; to polish; to lighten
levin,lightning
levirate,custom of compulsory marriage with brother's widow
lexer,law student
lexicology,study of words and their meanings
lexigram,sign which represents a word
lexigraphy,art of definition of words
lexigraphy,system of writing in which each sign represents a word
lexiphanic,bombastic; sesquipedalian; using many long words
lexis,way in which a piece of writing is expressed in words
ley,mystical straight line between features of landscape
liard,grey; dapple-grey
lias,fossil-bearing limestone
libaniferous,yielding or bearing incense
libanomancy,divination by watching incense smoke
libanotophorous,producing incense
libeccio,southwest wind
libellant,one who brings a charge of libel
liber,phloem or fibre from tree
liberalism,doctrine of social change and tolerance
libertarianism,doctrine that personal liberty is the highest value
liberticide,destruction of liberty
libertinage,debauchery
libidinist,lewd person
libken,place to sleep in
librate,to oscillate; to be poised
libration,apparent oscillation of moon's visible surface
libricide,killing or killer of books
libriform,shaped like a book
lichenography,description of lichens
lichenology,study of lichens
lickerish,lecherous; lusty; greedy
